mass,z
10.63777,0.097596
10.82341,0.097887
11.30075,0.050974
10.74148,0.087416
10.72691,0.055854
11.341371,0.089127
10.75854,0.065459
11.351331,0.084013
11.37184,0.16859
11.30712,0.167525
10.67495,0.022276
10.69489,0.090204
11.03388,0.0876
10.534639,0.06662
11.06307,0.120501
11.09775,0.065712
10.546089,0.088018
11.08377,0.104422
10.702609,0.097599
10.94128,0.08879
11.25009,0.183349
10.88021,0.031346
10.69901,0.082553
11.36245,0.185454
10.57148,0.098768
11.508241,0.10804
10.946729,0.099205
11.151841,0.098419
10.89301,0.099723
10.769529,0.063958
11.01066,0.098993
10.80068,0.081656
11.336549,0.138649
11.17144,0.147518
11.17349,0.140557
11.111821,0.142601
11.357381,0.167963
10.77092,0.043635
11.59906,0.167705
11.26087,0.165801
10.876419,0.044877
11.344549,0.140654
11.03406,0.069461
10.50586,0.035242
11.06423,0.121977
11.01977,0.123299
11.06531,0.12483
11.25295,0.143912
10.891681,0.070026
10.66403,0.028964
11.17624,0.101225
11.02145,0.120105
10.781469,0.02996
10.92082,0.084421
10.753221,0.051414
10.954769,0.072036
10.55494,0.094991
11.035509,0.097961
11.18606,0.118445
11.23595,0.118482
10.96474,0.045251
10.62277,0.026211
11.45893,0.176448
11.34854,0.147489
11.536469,0.17262
11.0997,0.106052
11.188081,0.118014
11.32473,0.172816
10.92494,0.082935
11.576329,0.19938
11.472119,0.178073
10.556849,0.039591
10.772189,0.039845
11.05162,0.149856
11.449369,0.171802
11.065261,0.072993
11.51004,0.176948
11.39327,0.173874
11.59437,0.174586
10.584459,0.072172
11.07535,0.129308
11.02003,0.122451
11.03082,0.124841
11.446929,0.181169
11.3176,0.133225
10.60408,0.02845
10.944459,0.078643
10.75286,0.099449
11.15357,0.133372
11.36279,0.187688
11.58091,0.187645
11.10968,0.134639
10.72529,0.07905
11.0571,0.136027
11.148721,0.133161
11.636,0.188171
10.786749,0.084965
11.21068,0.09229
11.10291,0.132445
11.271609,0.132184
11.150371,0.131883
10.776269,0.096332
10.669281,0.078672
11.18637,0.079114
11.04426,0.140155
11.433589,0.139061
11.064509,0.126616
10.7205,0.078036
11.25887,0.14458
11.123971,0.098702
10.864201,0.07119
10.88356,0.09901
11.09946,0.14053
11.022921,0.116662
11.60971,0.089191
10.55119,0.068544
11.454729,0.179666
10.50735,0.063827
10.55599,0.067223
11.53846,0.130708
11.26086,0.116767
10.68849,0.097858
10.88635,0.099492
10.67242,0.097736
11.06853,0.06717
11.329821,0.179777
11.622371,0.126559
10.71707,0.095148
11.211381,0.096966
10.97158,0.048992
11.563331,0.183855
11.0838,0.1169
10.86482,0.086314
11.43828,0.131859
11.165061,0.080922
10.55846,0.029122
11.35585,0.066129
11.37426,0.077365
10.85061,0.065555
11.063961,0.066255
11.31593,0.106227
10.53224,0.039406
11.14472,0.146299
11.067961,0.135806
10.58877,0.082632
10.62983,0.031282
10.861911,0.055628
10.79563,0.099142
10.725301,0.099729
10.930969,0.045091
10.611701,0.052008
10.81497,0.06351
11.19678,0.055395
11.38915,0.099332
11.434989,0.137644
10.55554,0.082077
10.572929,0.054755
11.2078,0.142945
11.04499,0.123588
11.50599,0.16535
11.13086,0.045197
10.845281,0.071265
11.02044,0.053564
11.02215,0.145126
10.899489,0.043729
11.19058,0.111576
10.95863,0.078631
11.368711,0.070947
11.33195,0.143691
11.18983,0.094989
10.88123,0.071746
11.308841,0.124989
11.53624,0.177151
10.74532,0.071729
11.11421,0.076649
11.18766,0.14841
11.07731,0.123702
11.16751,0.148575
11.499609,0.163294
11.26578,0.071821
11.60789,0.199242
10.570549,0.072259
11.00081,0.072624
10.87539,0.081531
10.926209,0.047557
11.18877,0.143646
11.34117,0.155613
10.80786,0.095371
11.24892,0.052718
10.71954,0.077812
10.784069,0.059591
10.78476,0.079078
11.14787,0.143523
11.20482,0.144003
10.50389,0.077442
11.54223,0.181967
10.93193,0.084612
11.09701,0.062397
10.66853,0.062331
11.393781,0.15476
11.09801,0.132307
10.716689,0.062023
10.78436,0.078888
11.39411,0.075678
11.38239,0.156685
11.726509,0.1484
11.2672,0.168984
11.21594,0.075766
10.72412,0.090326
10.92277,0.065453
11.07204,0.129542
10.874569,0.075655
10.7497,0.026173
11.01016,0.136047
11.286019,0.177568
11.21848,0.135604
11.08885,0.130316
11.403409,0.13606
10.949419,0.077259
11.439439,0.177401
11.1264,0.079079
11.10381,0.135859
11.00692,0.095084
11.39185,0.178682
11.37877,0.134103
11.09479,0.129861
11.26156,0.168833
11.31444,0.177202
11.07827,0.134909
11.120131,0.136014
11.20682,0.132915
11.00187,0.115646
10.57368,0.035358
10.63777,0.078884
11.00668,0.132218
11.34468,0.171935
10.949109,0.087977
10.50904,0.07812
11.2075,0.048913
11.0191,0.1009
11.163851,0.079084
10.834629,0.079074
10.9852,0.084021
10.80773,0.094029
11.33372,0.051751
11.09216,0.111423
10.789249,0.078619
11.079289,0.131555
11.1703,0.078713
11.28111,0.070773
10.98086,0.081694
11.41066,0.189827
10.67688,0.049879
11.13766,0.149765
10.561331,0.099124
11.05058,0.11568
